NA-42_shelfmark,Heading,Title,Imprint,Format,Date1,Date2,City,Country,Language,Category,Subject,Binding,Lot_no,Shelfmark,Shelf,Shelf_section,In_TCD,Is_measured,Has_photo,height,width,Measurement_inferred
F.11.1 [1],GALARDI (Ferdinand de).,"Traité concernant l'importance du choix exact d'ambassadeurs habiles, avec l'utilité des ligues, et du retablissement des ordres militaires en Espagne. ","Cologne, 1666. 24°",24°,1666,0,Cologne,gw|,FRENCH,JUS CIVILE,Of Ambassadors and Embassies,vellum,8932,Fag.H.16.5,F11,1,TRUE,TRUE,TRUE,137,44,
F.11.1 [2:1],"LECLERC, seu CLERICUS (Joannes).",Bibliotheque ancienne et moderne par Jean le Clercq,"Amsterdam, 1714-1730. 12°. 29 tom.",12°,1714,1730,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,215,Fag.L.8.23,F11,1,TRUE,TRUE,TRUE,140,29,
F.11.1 [2:2],"LECLERC, seu CLERICUS (Joannes).",Bibliotheque ancienne et moderne par Jean le Clercq,"Amsterdam, 1714-1730. 12°. 29 tom.",12°,1714,1730,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,215,Fag.L.8.24,F11,1,TRUE,TRUE,TRUE,142,30,
F.11.1 [2:3],"LECLERC, seu CLERICUS (Joannes).",Bibliotheque ancienne et moderne par Jean le Clercq,"Amsterdam, 1714-1730. 12°. 29 tom.",12°,1714,1730,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,215,Fag.L.8.25,F11,1,TRUE,TRUE,TRUE,143,29,
F.11.1 [2:4],"LECLERC, seu CLERICUS (Joannes).",Bibliotheque ancienne et moderne par Jean le Clercq,"Amsterdam, 1714-1730. 12°. 29 tom.",12°,1714,1730,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,215,Fag.L.8.26,F11,1,TRUE,TRUE,TRUE,142,29,
F.11.1 [2:5],"LECLERC, seu CLERICUS (Joannes).",Bibliotheque ancienne et moderne par Jean le Clercq,"Amsterdam, 1714-1730. 12°. 29 tom.",12°,1714,1730,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,215,Fag.L.8.27,F11,1,TRUE,TRUE,TRUE,142,29,
F.11.1 [2:6],"LECLERC, seu CLERICUS (Joannes).",Bibliotheque ancienne et moderne par Jean le Clercq,"Amsterdam, 1714-1730. 12°. 29 tom.",12°,1714,1730,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,215,Fag.L.8.28,F11,1,TRUE,TRUE,TRUE,141,30,
F.11.1 [2:7],"LECLERC, seu CLERICUS (Joannes).",Bibliotheque ancienne et moderne par Jean le Clercq,"Amsterdam, 1714-1730. 12°. 29 tom.",12°,1714,1730,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,215,Fag.L.8.29,F11,1,TRUE,TRUE,TRUE,141,31,
F.11.1 [2:8],"LECLERC, seu CLERICUS (Joannes).",Bibliotheque ancienne et moderne par Jean le Clercq,"Amsterdam, 1714-1730. 12°. 29 tom.",12°,1714,1730,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,215,Fag.L.8.30,F11,1,TRUE,TRUE,TRUE,140,28,
F.11.1 [2:9],"LECLERC, seu CLERICUS (Joannes).",Bibliotheque ancienne et moderne par Jean le Clercq,"Amsterdam, 1714-1730. 12°. 29 tom.",12°,1714,1730,Amsterdam,ne|,FRENCH,LITERAE HUMANIORES (Pars I.),Memoirs of Literature and Reviews,vellum,215,Fag.L.8.31,F11,1,TRUE,TRUE,TRUE,141,28,
